case_id,split,rubric,arm,claim,disagreements,expected_support,actual_support_probability,expected_durable,actual_durable_probability,expected_assertion,actual_assertion,packet_sha256
case-09-4,development,memory-assess-v1,compact,An Iris operator believes the cache TTL is ten minutes.,retention_durability,True,0.96,True,0.24,established,established,da3d08438913532c928639dd962bfce96079123b344e3a7571a3d273ad7a7385
case-10-1,development,memory-assess-v1,compact,Juniper accessibility acceptance requires visible keyboard focus.,supported,True,0.22,True,0.85,established,established,dff93c68da0517b1a1aaaf15d53951a46200c37351e0306217b94c4d6277bbb7
case-10-2,development,memory-assess-v1,compact,Juniper passed full accessibility acceptance.,retention_durability,False,0.01,True,0.48,denied,denied,9dab02c5a1afb18a27e948583f451006ae274df13fb51d8e94adc8bf725050ab
case-12-1,development,memory-assess-v1,compact,Larch schema migrations require a single database lock.,supported;assertion,True,0.02,True,0.85,established,unclear,855c6fabc7548f1ca21c3bc6c0d1423271d894fe3271d47f35e2ada15326e2ac
case-12-3,development,memory-assess-v1,compact,Larch automatically retries non-idempotent migrations.,assertion,False,0.02,True,0.75,denied,unclear,6f2ca32ea35310265fd9bb55d79c3d2adf1c0a3b3d43cf7f331462461bb58e2d
case-12-5,development,memory-assess-v1,compact,Larch has already retried the timed-out migration.,retention_durability,False,0.01,True,0.41,denied,denied,3cf69508ba7a41f073c27f5ecc0e6a64f7aa93453a77dd121126078b3fdae581
case-13-1,development,memory-assess-v1,compact,Maple retains anonymized invoices for seven years after account deletion.,supported;assertion,True,0.04,True,0.89,established,unclear,8e6002dbff87df0932adfeec372e099abc54b62922e044ff098968e9044fee64
case-13-2,development,memory-assess-v1,compact,Maple immediately removes profile fields on account deletion.,supported,True,0.09,True,0.8,established,established,170fbcb9ee4246975b09023cf76738fc769aa687a8c8c8993a4395e1bbbb685c
case-14-1,development,memory-assess-v1,compact,Nettle production reports use a read-only replica.,supported,True,0.04,True,0.86,established,established,a3911e78a1db3c413f0b2da174580ffbefc206c87b1ead1f921f1dde95103d26
case-14-2,development,memory-assess-v1,compact,Nettle production reports may run on the writer.,assertion,False,0.14,True,0.68,denied,established,d34a8cfde6fa315705d480526592db6edabb3a1df1fe4d0b9e6371bd6510dfb5
case-01-1,development,memory-assess-v1,relevant,Aster production backups use customer-managed encryption keys.,supported,True,0.34,True,0.88,established,established,9dc58d89739aa140a44482f702e431697df555ffce6b8c83e95c9e734b94a497
case-01-4,development,memory-assess-v1,relevant,Aster requires quarterly restore drills.,assertion,True,0.64,True,0.84,established,planned,de50c4a7c5125279f74d4b8badb5510fa993fd582a4c85eb5ecff0e01e6c54d5
case-02-1,development,memory-assess-v1,relevant,The Birch vendor reports that snapshots are encrypted.,supported;assertion,True,0.28,True,0.67,established,unclear,af35ba8d282a71a2406927cfdb7376065485a2e42ad2491d215484e3e41fe5aa
case-03-1,development,memory-assess-v1,relevant,Cedar currently expires administrator sessions after twelve hours.,supported,True,0.12,True,0.77,established,established,bb1402499d10c6082e630ad3026ef6c682671041de87de645ca3034f05b56f80
case-03-2,development,memory-assess-v1,relevant,Cedar currently expires sessions after two hours.,assertion,False,0.01,True,0.55,denied,planned,a52299921c32bb7e7dd2ff3c5521decd4a22787b9717204fe5aef4bde6813313
case-03-4,development,memory-assess-v1,relevant,Cedar might offer a warning banner if support volume rises.,retention_durability,True,0.91,True,0.37,hypothetical,hypothetical,0ee04cb7ecef23271fbdad3ca360012bb0c23ceda9ea84f30250c314f131f174
case-03-5,development,memory-assess-v1,relevant,Cedar decided to deploy a warning banner.,assertion,False,0.01,True,0.63,denied,hypothetical,1777fb3dff85ac53b7d5940fe9f4d944c56ce5a3caee5d65836bdc0c79c06920
case-04-1,development,memory-assess-v1,relevant,Dahlia export is enabled for the European tenant.,supported,True,0.23,True,0.81,established,established,a1bcefeaa6a9e01e8804aeb5e051c341f653ee98815cf0cfc261c50c53e4748c
case-04-2,development,memory-assess-v1,relevant,Dahlia export is enabled for the US tenant.,retention_durability,False,0.01,True,0.47,denied,denied,df556dd38bcc4625c5f849246c8ab78866ca0fd0f4150547ee38d715b0f02422
case-05-1,development,memory-assess-v1,relevant,Elm search indexing is currently enabled.,supported,True,0.32,True,0.54,established,established,3729b3b9e3e5a47920c70a3c8318fb8f20ab8c854e6682deac9899cc0abee2d3
case-05-2,development,memory-assess-v1,relevant,Elm search indexing is currently disabled.,retention_durability;assertion,False,0.1,True,0.42,denied,established,0c0b650992fc1a195820da78869079accc297029c977e1be7ea36f7e443afecb
case-05-3,development,memory-assess-v1,relevant,Elm completed the migration.,supported;assertion,True,0.23,True,0.68,established,unclear,eec41fd241096d2cf7f5b2feea312618e239f1a094423c1fc1473cd1904b14c5
case-05-4,development,memory-assess-v1,relevant,Elm requires index writes outside checkout transactions.,supported;assertion,True,0.15,True,0.85,established,planned,3a6e63184beec4dcb6c9fac47e101426cdccf268170fc499110eba661dbe0c68
case-06-1,development,memory-assess-v1,relevant,Fern normally retains logs for thirty days.,supported,True,0.09,True,0.86,established,established,4e6e469897d09fb8cf345c39e5f186fb3be8c52b95105c71b35ad8a5418c03e7
case-06-2,development,memory-assess-v1,relevant,Fern legal holds override normal log expiry.,supported,True,0.29,True,0.89,established,established,5d0747ed10cfda3b8cc0f4d17d65a7629d70a33cf64b031095aac8b08beaf10e
case-06-3,development,memory-assess-v1,relevant,Fern has approved seven-day debug-log retention.,assertion,False,0.02,True,0.56,denied,planned,59e83666c5d95b970679a1786ff43e65ababb6be8951aa343ba406da48e4ed36
case-06-4,development,memory-assess-v1,relevant,An engineer proposed seven-day debug-log retention for Fern.,retention_durability;assertion,True,0.95,True,0.49,planned,established,741ad5da64cf20966ecd6d57591cce28a84d6e37480591d0cdae3b5b673257c6
case-07-1,development,memory-assess-v1,relevant,Ginkgo release artifacts require offline-key signatures.,supported,True,0.23,True,0.91,established,established,63ff51a25c7690d433af3962bdc039a000fd038b3bcfa9a6edfa5b5229e5dbfd
case-08-1,development,memory-assess-v1,relevant,Hazel routes real incident alerts to the on-call engineer.,supported,True,0.31,True,0.84,established,established,a16f4879ab09aed50868ce37c208789daef18a7f4a27b55d1d8055cc0da33948
case-08-4,development,memory-assess-v1,relevant,Hazel requires permanent incident acknowledgement records.,supported,True,0.34,True,0.8,established,established,f5ae8ee6f7656a69e29682338d53f2d0a9911efc5dfe653821a0f9c132a8e1d2
case-09-1,development,memory-assess-v1,relevant,Iris cache keys include organization ID.,supported,True,0.45,True,0.87,established,established,3677cb97ef296574597bc493aab8fc7777408e11095445fc40044498e6a825c3
case-09-4,development,memory-assess-v1,relevant,An Iris operator believes the cache TTL is ten minutes.,retention_durability,True,0.96,True,0.22,established,established,176a0f4cc881b9b67943cb1bf55948d6c5b66ffab201dfa5ce76b48f00d62d38
case-10-2,development,memory-assess-v1,relevant,Juniper passed full accessibility acceptance.,retention_durability,False,0.01,True,0.49,denied,denied,c2869f459e9baea71028b26d26665437dfa2c38004b33b9f7244bd4eee374481
case-12-1,development,memory-assess-v1,relevant,Larch schema migrations require a single database lock.,supported,True,0.15,True,0.89,established,established,9328c93630ec733fd234d45216de7d01f459cff747dff13ec01126fe1068e12e
case-12-4,development,memory-assess-v1,relevant,Larch requires database inspection before retrying this timed-out migration.,assertion,True,0.8,True,0.85,established,planned,d8e8b13a55197dc04f67e0c8cbafedc9b53b1a34ee95dfd46edabe2fe800e555
case-12-5,development,memory-assess-v1,relevant,Larch has already retried the timed-out migration.,retention_durability,False,0.01,True,0.46,denied,denied,2e389ea283ac56987ad4bce01b3d6f0aa949754e5bb5be73dfc7defe75920ab7
case-13-1,development,memory-assess-v1,relevant,Maple retains anonymized invoices for seven years after account deletion.,supported,True,0.17,True,0.9,established,established,ed3548e1f66b7d6cbf9e7026e38225776a99fb2b843bc4a07397c9260b356bdc
case-13-2,development,memory-assess-v1,relevant,Maple immediately removes profile fields on account deletion.,supported,True,0.33,True,0.9,established,established,52397074823009822b3b4bc0b9bdf4af4f641dc10d87e702a858fbc92089256a
case-14-1,development,memory-assess-v1,relevant,Nettle production reports use a read-only replica.,supported,True,0.29,True,0.91,established,established,dd2895cca4dc65d623925f7ebaf880fee9d2507c31a3c365c56ab27025a37644
case-14-2,development,memory-assess-v1,relevant,Nettle production reports may run on the writer.,retention_durability,False,0.01,True,0.48,denied,denied,296226fae8825bbcbbd7d5f4f152d7ac9398689a908948a7b96879bc06f8d69b
case-01-1,development,memory-assess-v1,target20k,Aster production backups use customer-managed encryption keys.,supported,True,0.37,True,0.9,established,established,9dc58d89739aa140a44482f702e431697df555ffce6b8c83e95c9e734b94a497
case-01-4,development,memory-assess-v1,target20k,Aster requires quarterly restore drills.,assertion,True,0.57,True,0.85,established,planned,de50c4a7c5125279f74d4b8badb5510fa993fd582a4c85eb5ecff0e01e6c54d5
case-02-1,development,memory-assess-v1,target20k,The Birch vendor reports that snapshots are encrypted.,supported;assertion,True,0.23,True,0.69,established,unclear,af35ba8d282a71a2406927cfdb7376065485a2e42ad2491d215484e3e41fe5aa
case-03-1,development,memory-assess-v1,target20k,Cedar currently expires administrator sessions after twelve hours.,supported,True,0.13,True,0.77,established,established,bb1402499d10c6082e630ad3026ef6c682671041de87de645ca3034f05b56f80
case-03-2,development,memory-assess-v1,target20k,Cedar currently expires sessions after two hours.,assertion,False,0.01,True,0.55,denied,planned,a52299921c32bb7e7dd2ff3c5521decd4a22787b9717204fe5aef4bde6813313
case-03-4,development,memory-assess-v1,target20k,Cedar might offer a warning banner if support volume rises.,retention_durability,True,0.91,True,0.35,hypothetical,hypothetical,0ee04cb7ecef23271fbdad3ca360012bb0c23ceda9ea84f30250c314f131f174
case-03-5,development,memory-assess-v1,target20k,Cedar decided to deploy a warning banner.,assertion,False,0.01,True,0.64,denied,hypothetical,1777fb3dff85ac53b7d5940fe9f4d944c56ce5a3caee5d65836bdc0c79c06920
case-04-1,development,memory-assess-v1,target20k,Dahlia export is enabled for the European tenant.,supported,True,0.25,True,0.8,established,established,a1bcefeaa6a9e01e8804aeb5e051c341f653ee98815cf0cfc261c50c53e4748c
case-04-2,development,memory-assess-v1,target20k,Dahlia export is enabled for the US tenant.,retention_durability,False,0.01,True,0.47,denied,denied,df556dd38bcc4625c5f849246c8ab78866ca0fd0f4150547ee38d715b0f02422
case-05-1,development,memory-assess-v1,target20k,Elm search indexing is currently enabled.,supported,True,0.38,True,0.56,established,established,3729b3b9e3e5a47920c70a3c8318fb8f20ab8c854e6682deac9899cc0abee2d3
case-05-2,development,memory-assess-v1,target20k,Elm search indexing is currently disabled.,retention_durability;assertion,False,0.13,True,0.45,denied,established,0c0b650992fc1a195820da78869079accc297029c977e1be7ea36f7e443afecb
case-05-3,development,memory-assess-v1,target20k,Elm completed the migration.,supported;assertion,True,0.15,True,0.68,established,unclear,eec41fd241096d2cf7f5b2feea312618e239f1a094423c1fc1473cd1904b14c5
case-05-4,development,memory-assess-v1,target20k,Elm requires index writes outside checkout transactions.,supported;assertion,True,0.18,True,0.84,established,planned,3a6e63184beec4dcb6c9fac47e101426cdccf268170fc499110eba661dbe0c68
case-06-1,development,memory-assess-v1,target20k,Fern normally retains logs for thirty days.,supported,True,0.1,True,0.85,established,established,4e6e469897d09fb8cf345c39e5f186fb3be8c52b95105c71b35ad8a5418c03e7
case-06-3,development,memory-assess-v1,target20k,Fern has approved seven-day debug-log retention.,assertion,False,0.02,True,0.55,denied,planned,59e83666c5d95b970679a1786ff43e65ababb6be8951aa343ba406da48e4ed36
case-06-4,development,memory-assess-v1,target20k,An engineer proposed seven-day debug-log retention for Fern.,retention_durability;assertion,True,0.95,True,0.49,planned,established,741ad5da64cf20966ecd6d57591cce28a84d6e37480591d0cdae3b5b673257c6
case-07-1,development,memory-assess-v1,target20k,Ginkgo release artifacts require offline-key signatures.,supported,True,0.33,True,0.91,established,established,63ff51a25c7690d433af3962bdc039a000fd038b3bcfa9a6edfa5b5229e5dbfd
case-08-1,development,memory-assess-v1,target20k,Hazel routes real incident alerts to the on-call engineer.,supported,True,0.33,True,0.84,established,established,a16f4879ab09aed50868ce37c208789daef18a7f4a27b55d1d8055cc0da33948
case-09-1,development,memory-assess-v1,target20k,Iris cache keys include organization ID.,supported,True,0.34,True,0.87,established,established,3677cb97ef296574597bc493aab8fc7777408e11095445fc40044498e6a825c3
case-09-4,development,memory-assess-v1,target20k,An Iris operator believes the cache TTL is ten minutes.,retention_durability,True,0.97,True,0.23,established,established,176a0f4cc881b9b67943cb1bf55948d6c5b66ffab201dfa5ce76b48f00d62d38
case-12-1,development,memory-assess-v1,target20k,Larch schema migrations require a single database lock.,supported;assertion,True,0.15,True,0.88,established,unclear,9328c93630ec733fd234d45216de7d01f459cff747dff13ec01126fe1068e12e
case-12-2,development,memory-assess-v1,target20k,The latest Larch migration definitely completed.,retention_durability,False,0.02,True,0.46,unclear,unclear,9019e28de649f9f7380a700ec49c41a4d4f0cadbe47ea84a8a49b30392e85da5
case-12-4,development,memory-assess-v1,target20k,Larch requires database inspection before retrying this timed-out migration.,assertion,True,0.8,True,0.85,established,planned,d8e8b13a55197dc04f67e0c8cbafedc9b53b1a34ee95dfd46edabe2fe800e555
case-12-5,development,memory-assess-v1,target20k,Larch has already retried the timed-out migration.,retention_durability,False,0.01,True,0.46,denied,denied,2e389ea283ac56987ad4bce01b3d6f0aa949754e5bb5be73dfc7defe75920ab7
case-13-1,development,memory-assess-v1,target20k,Maple retains anonymized invoices for seven years after account deletion.,supported,True,0.34,True,0.91,established,established,ed3548e1f66b7d6cbf9e7026e38225776a99fb2b843bc4a07397c9260b356bdc
case-13-2,development,memory-assess-v1,target20k,Maple immediately removes profile fields on account deletion.,supported,True,0.33,True,0.89,established,established,52397074823009822b3b4bc0b9bdf4af4f641dc10d87e702a858fbc92089256a
case-14-1,development,memory-assess-v1,target20k,Nettle production reports use a read-only replica.,supported,True,0.31,True,0.91,established,established,dd2895cca4dc65d623925f7ebaf880fee9d2507c31a3c365c56ab27025a37644
case-01-1,development,memory-assess-v2,compact,Aster production backups use customer-managed encryption keys.,supported,True,0.22,True,0.79,established,established,488896f78d1f3203ca821a6f8b01a5b057f535660bdd9ae3005020ad52cb43c2
case-01-4,development,memory-assess-v2,compact,Aster requires quarterly restore drills.,assertion,True,0.63,True,0.83,established,planned,887613f275231982a104b98d4abbda4fafd83fcfa4dfa98c25122be99e1505a8
case-01-5,development,memory-assess-v2,compact,The visitor’s current download is forty percent complete.,supported,True,0.41,False,0.1,established,established,bcef3f34d1eb375b7f14e5f9a42ae60ad82faa0601688be0ff2879086615fe38
case-02-1,development,memory-assess-v2,compact,The Birch vendor reports that snapshots are encrypted.,supported;assertion,True,0.37,True,0.5,established,unclear,4cfbf2732c40993b7971dd859aee3f1fbfb06a16971cd06a286e47872d712e9c
case-03-1,development,memory-assess-v2,compact,Cedar currently expires administrator sessions after twelve hours.,supported,True,0.44,True,0.64,established,established,43c2ad087efc60f4881f31cad1d11eebe05f6cca39524f862ffb14e58d70d983
case-03-2,development,memory-assess-v2,compact,Cedar currently expires sessions after two hours.,assertion,False,0.25,True,0.55,denied,planned,f414bef86a40eb71ba96d2b589d6fdc31357531cccb414ec05fe329200e2c2d0
case-03-3,development,memory-assess-v2,compact,Cedar plans two-hour sessions next month.,supported,True,0.35,True,0.72,planned,planned,a1fa7e61cfdefb94177a2fcb93acc27daa318b72c40096633e4893920d67b1b0
case-03-4,development,memory-assess-v2,compact,Cedar might offer a warning banner if support volume rises.,retention_durability,True,0.65,True,0.4,hypothetical,hypothetical,bc1fe5ddffa549745410ae5b0d5747da0809d593f521f5952b34e4ee46f55430
case-03-5,development,memory-assess-v2,compact,Cedar decided to deploy a warning banner.,assertion,False,0.04,True,0.53,denied,hypothetical,063a968cdabe9dd53f7dbf47ee59c3b8b96b433240a25eee68f065a6f7895728
case-04-1,development,memory-assess-v2,compact,Dahlia export is enabled for the European tenant.,supported;assertion,True,0.11,True,0.66,established,unclear,9c5f22901f1611d1a9952bcf1527c08cc02e19e41106337f60893cd37ffaac7a
case-04-2,development,memory-assess-v2,compact,Dahlia export is enabled for the US tenant.,retention_durability,False,0.04,True,0.49,denied,denied,fef23c892e1fe8f0108516bfbfe4deff5db10f7e55fd823ae6bdaed0429b68ef
case-05-1,development,memory-assess-v2,compact,Elm search indexing is currently enabled.,supported,True,0.38,True,0.5,established,established,7dd6ec6f80d21eea6864511adfb451c811b988a04802d96ae95d724903dbef57
case-05-2,development,memory-assess-v2,compact,Elm search indexing is currently disabled.,assertion,False,0.23,True,0.52,denied,unclear,0c3b0defdfcd374b240b1357150e501aab4792941222bdd5a79c350c87877961
case-05-3,development,memory-assess-v2,compact,Elm completed the migration.,supported;retention_durability;assertion,True,0.13,True,0.48,established,unclear,cc5583479bf300863ce37a592603a540e87964204fd5ad6d604c610d54aa4e8d
case-06-1,development,memory-assess-v2,compact,Fern normally retains logs for thirty days.,supported,True,0.33,True,0.79,established,established,1249cd818c8246151755ca7c1d06ba1c6b943de7ce39c1f8484b6223feaaa33e
case-06-4,development,memory-assess-v2,compact,An engineer proposed seven-day debug-log retention for Fern.,retention_durability,True,0.81,True,0.36,planned,planned,0ec2ec89faaec9a7b851216045c6f8651ad2480907747db518d0b2bc4d38177f
case-07-1,development,memory-assess-v2,compact,Ginkgo release artifacts require offline-key signatures.,supported;assertion,True,0.1,True,0.77,established,unclear,14dbd82f640da8242905974d2ad962bf54641ce1ee110468599cfb9fd841cde2
case-07-3,development,memory-assess-v2,compact,Ginkgo release 8 has been published.,retention_durability,False,0.03,True,0.38,denied,denied,8985fd37601567601b4c27b211e37a4021b3293970f90d0155431268950a8aa3
case-08-1,development,memory-assess-v2,compact,Hazel routes real incident alerts to the on-call engineer.,supported,True,0.49,True,0.73,established,established,f1c20648ce5201e558d71b0de88fe8775f8bd87b7bf3e066f81918a308b18516
case-08-4,development,memory-assess-v2,compact,Hazel requires permanent incident acknowledgement records.,supported;assertion,True,0.3,True,0.78,established,planned,6992e0596d14337d3612fb7dd502d3ee95fa5f0150aa2f356e9caa76408b8ba4
case-09-1,development,memory-assess-v2,compact,Iris cache keys include organization ID.,supported;assertion,True,0.14,True,0.64,established,unclear,84317af325fb723b81bda9ca47e90bcdd64a1720135c915aa766e3d1289895ea
case-09-2,development,memory-assess-v2,compact,Iris cache TTL is confirmed to be ten minutes.,retention_durability,False,0.03,True,0.4,unclear,unclear,04bf3f58635568db65108be30eec629a9491c262c8f02e03bd41a128d526950b
case-09-3,development,memory-assess-v2,compact,Iris cache TTL is confirmed to be one minute.,retention_durability,False,0.04,True,0.44,unclear,unclear,01ec1cd966c3e65b94f4136937934ead6471c065fd82143d2f4ffff3181b3098
case-09-4,development,memory-assess-v2,compact,An Iris operator believes the cache TTL is ten minutes.,retention_durability;assertion,True,0.89,True,0.21,established,unclear,7672c5c55acb9c1c27585e6c5a437fdc67d24e1f6a90648d2b39854219d6d330
case-09-5,development,memory-assess-v2,compact,Iris has completed inspection of its cache TTL.,retention_durability,False,0.02,True,0.34,denied,denied,ce03b9b3cc447dbeb3ec2343d6d2ef3ee666d3c6ee7bedcd17aacbf85392e383
case-10-1,development,memory-assess-v2,compact,Juniper accessibility acceptance requires visible keyboard focus.,supported,True,0.35,True,0.85,established,established,430e0c39d08b6156294ff0a8146b2cf17645fc7d1e1258247bdb78da29c19d37
case-10-2,development,memory-assess-v2,compact,Juniper passed full accessibility acceptance.,retention_durability,False,0.02,True,0.36,denied,denied,3aa033c9f184cd535f6a613761a1963e39c79732834a4be749cbba855890ee7f
case-10-3,development,memory-assess-v2,compact,Juniper keyboard navigation passed testing.,retention_durability,True,0.73,True,0.43,established,established,de81d1b098656ff42eabf8bf2a72a4ee8b11113ab174167b0cd537684207cad8
case-10-4,development,memory-assess-v2,compact,Juniper plans a visible-focus fix for Friday.,supported,True,0.44,True,0.63,planned,planned,c923eb1e5afad01dc0b3070ff2df122fdcbf30bfca18482835cc2954e7e0e6e8
case-11-3,development,memory-assess-v2,compact,Kelp translates developer logs into Japanese.,assertion,False,0.28,True,0.66,denied,established,54d02435a1e2a40f5854a118c911106aea6e4ba73b8f97f6007ed340d0b52d5c
case-12-1,development,memory-assess-v2,compact,Larch schema migrations require a single database lock.,supported;assertion,True,0.06,True,0.66,established,unclear,aafa235ad0c9cecd92840b35811974fc41f17aed0871d0624670f4cdc597e7c6
case-12-2,development,memory-assess-v2,compact,The latest Larch migration definitely completed.,retention_durability;assertion,False,0.02,True,0.36,unclear,denied,2cb0a30e65df3b483f6e69f4255b457975f5bcc9a50b63bf4ed48f9673004c5d
case-12-4,development,memory-assess-v2,compact,Larch requires database inspection before retrying this timed-out migration.,assertion,True,0.67,True,0.77,established,planned,d3323f1d740280b11c5e521cb9dcbfc3d02122f66cd789100e3238fe712c42e9
case-12-5,development,memory-assess-v2,compact,Larch has already retried the timed-out migration.,retention_durability,False,0.03,True,0.34,denied,denied,9fb09757ec727ca4d747f99cc4b49f7f29f97e5f1ba70a3561386aaf8dc0a382
case-13-1,development,memory-assess-v2,compact,Maple retains anonymized invoices for seven years after account deletion.,supported;assertion,True,0.14,True,0.81,established,unclear,96d5dbed38cd651033e2c1472d1e94bbb487292aa770ce6cabe0d86c17cd2285
case-13-2,development,memory-assess-v2,compact,Maple immediately removes profile fields on account deletion.,supported,True,0.38,True,0.75,established,established,15b51f42242c682360a631bf33d65616000e7e99a58c39242ff77c83e8b9bed7
case-14-1,development,memory-assess-v2,compact,Nettle production reports use a read-only replica.,supported,True,0.32,True,0.77,established,established,4843d25014c4b75aad613502f6b6f6d1d4ee0315dc3a7aaa26117056d5b1e80a
case-14-2,development,memory-assess-v2,compact,Nettle production reports may run on the writer.,retention_durability,False,0.07,True,0.21,denied,denied,aec0e2f01995dbb73ddfa2fa59f79ebdbe142f815393e758e7b0cc6c9c6d2122
case-14-4,development,memory-assess-v2,compact,Nettle permanently moved staging reports to the writer.,retention_durability,False,0.02,True,0.29,denied,denied,3e6eebc30162e57ad2d30dc0233978231123d8a1c726db2885d83451ed4cb582
case-01-4,development,memory-assess-v2,relevant,Aster requires quarterly restore drills.,assertion,True,0.54,True,0.82,established,planned,9af902f91ba094743208c8c1c5b36a0893f019248a8c8076e52d72bec4aec2f6
case-02-1,development,memory-assess-v2,relevant,The Birch vendor reports that snapshots are encrypted.,retention_durability,True,0.71,True,0.39,established,established,573a1255460169c23c2b2151ae723b8654091965c87346d66bc2a9b832160562
case-02-3,development,memory-assess-v2,relevant,Birch plans an independent audit next quarter.,supported,True,0.45,True,0.74,planned,planned,ce607da5966649f14f8d57f6c200786e3f183acb849ac835db9e46a273db537e
case-02-5,development,memory-assess-v2,relevant,Birch snapshots have independently proven encryption.,retention_durability,False,0.01,True,0.43,denied,denied,7655065c613236690ea67e1597b1fc59c88f083abbb2b1b46213cf25ca53844e
case-03-2,development,memory-assess-v2,relevant,Cedar currently expires sessions after two hours.,retention_durability,False,0.05,True,0.41,denied,denied,4566b32003b028e224a125a1de03685fbc5ca44be52e7c596a613ea15ca51a6b
case-03-3,development,memory-assess-v2,relevant,Cedar plans two-hour sessions next month.,supported,True,0.31,True,0.72,planned,planned,fe54e092bf417a01b3315ce36c5510e081e1f1d8298d0ac88df8550f1174f1ae
